Experiment.ID,Library.ID,Library.type,Gene.ID,Anatomical.entity.ID,Anatomical.entity.name,Stage.ID,Stage.name,Sex,Strain,Read.count,TPM,FPKM,Rank,Detection.flag,pValue,State.in.Bgee
GSE30611,ERX011211,single,ENSG00000100483,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,281,2.457797,2.287589,9427,present,1.86059318148008e-7,Part of a call
GSE30611,ERX011211,single,ENSG00000100485,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,1295.002,3.871524,3.603414,7862,present,2.21700348085216e-8,Part of a call
GSE30611,ERX011211,single,ENSG00000100490,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,108.39266,1.068611,0.994607,12033,present,6.2719442004363e-6,Part of a call
GSE30611,ERX011211,single,ENSG00000100503,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,816.0003,1.82711,1.700579,10442,present,6.88809299867142e-7,Part of a call
GSE30611,ERX011211,single,ENSG00000100504,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,6925.0047,50.280969,46.798914,1258,present,8.40199173191103e-15,Part of a call
GSE30611,ERX011211,single,ENSG00000100505,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,185.9452,0.712745,0.663386,13278,present,2.9055133610513e-5,Part of a call
GSE30611,ERX011211,single,ENSG00000100519,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,4799.93207,51.33167,47.776852,1241,present,7.31467347556329e-15,Part of a call
GSE30611,ERX011211,single,ENSG00000100522,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,6355.7785,24.650808,22.943692,2373,present,8.24992862702722e-13,Part of a call
GSE30611,ERX011211,single,ENSG00000100523,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,364.56935,1.151655,1.0719,11812,present,4.66515254791068e-6,Part of a call
GSE30611,ERX011211,single,ENSG00000100526,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,19.00002,0.53633,0.499188,14145,present,7.95833624905806e-5,Part of a call
GSE30611,ERX011211,single,ENSG00000100528,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,7875.992,98.752076,91.913302,708,present,7.7723326523106e-17,Part of a call
