Stage.name;Stage.ID
51-YEAR-OLD STAGE (HUMAN);HsapDv:0000145
52-YEAR-OLD STAGE (HUMAN);HsapDv:0000146
53-YEAR-OLD STAGE (HUMAN);HsapDv:0000147
54-YEAR-OLD STAGE (HUMAN);HsapDv:0000148
55-YEAR-OLD STAGE (HUMAN);HsapDv:0000149
56-YEAR-OLD STAGE (HUMAN);HsapDv:0000150
57-YEAR-OLD STAGE (HUMAN);HsapDv:0000151
58-YEAR-OLD STAGE (HUMAN);HsapDv:0000152
59-YEAR-OLD STAGE (HUMAN);HsapDv:0000153
60-YEAR-OLD STAGE (HUMAN);HsapDv:0000154
61-YEAR-OLD STAGE (HUMAN);HsapDv:0000155
62-YEAR-OLD STAGE (HUMAN);HsapDv:0000156
63-YEAR-OLD STAGE (HUMAN);HsapDv:0000157
64-YEAR-OLD STAGE (HUMAN);HsapDv:0000158
65-YEAR-OLD STAGE (HUMAN);HsapDv:0000159
66-YEAR-OLD STAGE (HUMAN);HsapDv:0000160
67-YEAR-OLD STAGE (HUMAN);HsapDv:0000161
68-YEAR-OLD STAGE (HUMAN);HsapDv:0000162
69-YEAR-OLD STAGE (HUMAN);HsapDv:0000163
70-YEAR-OLD STAGE (HUMAN);HsapDv:0000164
71-YEAR-OLD STAGE (HUMAN);HsapDv:0000165
72-YEAR-OLD STAGE (HUMAN);HsapDv:0000166
73-YEAR-OLD STAGE (HUMAN);HsapDv:0000167
74-YEAR-OLD STAGE (HUMAN);HsapDv:0000168
75-YEAR-OLD STAGE (HUMAN);HsapDv:0000169
76-YEAR-OLD STAGE (HUMAN);HsapDv:0000170
77-YEAR-OLD STAGE (HUMAN);HsapDv:0000171
78-YEAR-OLD STAGE (HUMAN);HsapDv:0000172
79-YEAR-OLD STAGE (HUMAN);HsapDv:0000173
3-MONTH-OLD STAGE (HUMAN);HsapDv:0000176
4-MONTH-OLD STAGE (HUMAN);HsapDv:0000177
6-MONTH-OLD STAGE (HUMAN);HsapDv:0000179
7-MONTH-OLD STAGE (HUMAN);HsapDv:0000180
8-MONTH-OLD STAGE (HUMAN);HsapDv:0000181
10-MONTH-OLD STAGE (HUMAN);HsapDv:0000183
12-MONTH-OLD STAGE (HUMAN);HsapDv:0000185
14-MONTH-OLD STAGE (HUMAN);HsapDv:0000187
16-MONTH-OLD STAGE (HUMAN);HsapDv:0000189
17-MONTH-OLD STAGE (HUMAN);HsapDv:0000190
80-YEAR-OLD STAGE (HUMAN);HsapDv:0000206
81-YEAR-OLD STAGE (HUMAN);HsapDv:0000207
82-YEAR-OLD STAGE (HUMAN);HsapDv:0000208
83-YEAR-OLD STAGE (HUMAN);HsapDv:0000209
84-YEAR-OLD STAGE (HUMAN);HsapDv:0000210
85-YEAR-OLD STAGE (HUMAN);HsapDv:0000211
86-YEAR-OLD STAGE (HUMAN);HsapDv:0000212
87-YEAR-OLD STAGE (HUMAN);HsapDv:0000213
88-YEAR-OLD STAGE (HUMAN);HsapDv:0000214
89-YEAR-OLD STAGE (HUMAN);HsapDv:0000215
90-YEAR-OLD STAGE (HUMAN);HsapDv:0000216
91-YEAR-OLD STAGE (HUMAN);HsapDv:0000217
92-YEAR-OLD STAGE (HUMAN);HsapDv:0000218
93-YEAR-OLD STAGE (HUMAN);HsapDv:0000219
95-YEAR-OLD STAGE (HUMAN);HsapDv:0000221
97-YEAR-OLD STAGE (HUMAN);HsapDv:0000223
99-YEAR-OLD STAGE (HUMAN);HsapDv:0000225
106-YEAR-OLD STAGE (HUMAN);HsapDv:0000234
THIRD DECADE STAGE (HUMAN);HsapDv:0000237
FOURTH DECADE STAGE (HUMAN);HsapDv:0000238
FIFTH DECADE STAGE (HUMAN);HsapDv:0000239
SIXTH DECADE STAGE (HUMAN);HsapDv:0000240
SEVENTH DECADE STAGE (HUMAN);HsapDv:0000241
